"SiteID","Lat","Long"
"G1990",33.37877,-80.69982
"G6113",35.31701,-79.54335
"G6122",35.05444,-79.09083
"G6123",35.18972,-79.13667
"G6161",34.71085,-78.45682
"G6164",34.74722,-78.70892
"G6251",35.13222,-79.49222
"G6252",35.19167,-79.61861
"G6253",35.08194,-79.58944
"G6255",34.6204,-79.19264
"G6278",35.63428,-78.31905
"G6280",35.91371,-78.38696
"G6281",35.50619,-77.77569
"G6282",35.49362,-77.73042
"G6284",35.6115,-77.61665
"G6285",35.72905,-78.20722
"G6286",35.51186,-77.9484
"G6287",35.41302,-77.6015
"G6290",35.67803,-77.84604
"G6291",35.80213,-78.17616
"G6293",35.45944,-77.28389
"G6294",35.40167,-77.33194
"G6296",35.02683,-77.13446
"G6297",35.06162,-77.46318
"G6302",35.385,-77.24766
"G6346",35.89009,-77.75821
"G6351",35.62462,-77.22129
"G6355",35.72667,-77.59694
"G6357",36.22639,-77.80917
"G6359",36.28722,-78.18583
"G6363",35.54583,-77.21028
"G6381",34.98417,-79.67111
"G6382",35.03528,-79.70111
"G6388",34.85639,-79.91667
"G6389",34.82972,-79.79972
"G6451",34.88111,-80.30167
"G1020",38.91544,-90.27086
"G1022",38.87213,-90.17989
"G1024",38.92018,-90.39803
"G1028",38.91535,-90.54612
"G1030",38.91654,-90.50245
"G1033",40.13539,-90.26347
"G1035",40.28857,-90.07446
"G1037",40.1905,-90.16241
"G1039",40.46382,-89.84873
"G1042",37.32581,-89.45305
"G1044",37.35653,-89.44868
"G1046",37.2607,-89.43107
"G1048",37.24652,-89.52431
"G1067",43.74442,-91.2508
"G1012",42.18286,-90.28564
"G1014",42.12156,-90.17679
"G1026",42.13602,-90.18992
"G1050",44.38612,-91.99512
"G1052",44.38792,-92.0354
"G1054",44.38425,-92.02346
"G1055",44.37782,-92.0065
"G1057",44.61148,-92.60844
"G1060",43.73241,-91.24505
"G1062",43.65154,-91.2328
"G1064",43.74075,-91.26035
"G1066",43.77362,-91.25849
"G1071",41.95499,-90.15572
"G1073",42.09582,-90.16816
"G146",39.86131,-86.87111
"G147",39.85278,-86.89267
"G148",39.84612,-86.92014
"G149",39.83183,-86.92827
"G150",39.83563,-86.93486
