"Species","Nsites","Nyears","OLS_a","OLS_mu","OLS_S","OLS_J","OLS_R2","GLS_a","GLS_mu","GLS_S","GLS_J","deltaAIC","PC1_trophic","PC2_trophic","PC1_life","PC2_life","PC1_habitat","PC2_habitat","PC1_habsub","PC2_habsub"
"Acantharchus pomotis",36,17,2.31156700450869,1.80539886854202,-0.00535306345572058,0.0937184485889914,0.955819077894581,2.52534755116999,1.87010465561154,-0.00231873854285525,-0.150940560471027,-10.891824684519,-0.204752002947738,-0.0428324499147344,0.073504374768535,0.037382178902618,-0.406041178940433,-0.0940771790453153,-0.163405737107908,-0.209264557369427
"Alosa chrysochloris",14,26,1.88671740609437,1.59252453498181,0.0263389670510882,-5.00682352247582,0.937940453548346,2.50854999923989,1.6139534742163,0.0175319449992767,-5.29231772578305,-7.00911333433032,-0.306501105533214,-0.0501195858549304,-0.0191732962884848,0.0161126873578985,-0.0219426636584441,-0.171846627243083,-0.096187202770307,-0.169946789767502
"Ambloplites rupestris",209,36,2.72074361234612,1.68187128854541,-0.0272466631286255,0.654652144813098,0.958279346757125,2.72074361023904,1.68187128829336,-0.0272466631112997,0.654652146741623,-22.3616094402522,-0.204752002947738,-0.0428324499147337,-0.0366730076081354,-0.0274251549422612,-0.2041183993345,0.0265187097326905,-0.408203560435045,0.0750896965346551
"Ameiurus brunneus",64,27,2.23844053743424,1.63424313682985,0.00567674349796615,-0.417456367793195,0.967339151432995,2.13803974623527,1.6409705818774,0.00851255359825675,-0.369945506967589,-15.8928765814396,0.0618983517709352,-0.0833012252103818,-0.016654074745801,0.00672056759803431,0.111588108501147,0.236606765321213,0.232638397609596,0.0557968011104576
"Ameiurus catus",22,19,3.00954058509375,1.85246307661442,-0.0145198641878191,-0.490995572688087,0.98774509538096,2.83130831540108,1.85286379604357,-0.0143487113526654,-0.20935760263579,-14.0170327424868,0.000212201101785549,-0.225542480417339,-0.128971216768563,-0.0111827613114965,0.0446800521996408,0.02862074896376,-0.109309250592635,0.0398392834476873
"Ameiurus melas",208,31,3.1654170307158,1.90767515643719,-0.00733850978568272,-0.0600498886395137,0.980523283200539,3.18203560398311,1.90954033717686,-0.00753346667332769,-0.0716310931794641,-22.5728061972837,0.157529661566642,-0.267682171634776,-0.0369634277762146,0.00299927418765473,-0.404454732599547,-0.0792366027870868,-0.226147497719702,0.01215475528695
"Ameiurus natalis",312,35,2.06246641519341,1.67326771784939,0.00957244973212937,-0.0695483065151333,0.950973822126521,2.07895786564297,1.67252052720852,0.00950246706250291,-0.090580509292959,-23.9760049574743,0.199013908566517,-0.352662844896268,-0.0379269634583065,0.0406475499653472,-0.034823340979943,0.289526368145858,-0.188809343468922,0.2736335525219
"Ameiurus nebulosus",77,28,1.40774958198548,1.63674844638577,0.00533340899721002,0.851971492212919,0.95452078125703,1.40774958149368,1.63674844635818,0.00533340899535921,0.851971492932405,-20.5359218961779,0.289053523095084,-0.199297829478082,-0.0761514631693942,0.0469234205083908,-0.190954016055309,0.112683411487901,-0.372248351575558,0.0764437562534617
"Ameiurus platycephalus",214,28,2.42782379200756,1.68408316537562,0.00218190307073979,-0.488717596714181,0.958664618224649,2.41457449087343,1.68573690765802,0.00289620157294874,-0.492829763477299,-21.0396813285952,0.0618983517709354,-0.0833012252103828,-0.0052604471658777,-0.0311431614075512,0.0698762588698764,0.0214160794365236,-0.0766663422586943,0.298433585397471
"Amia calva",76,27,1.65505602867765,1.24333525042062,-0.00582467123797406,-0.592688839175373,0.94884107091191,1.69165931631817,1.24396281986028,-0.0059211532017926,-0.646080307565406,-20.6442030798536,-0.204752002947738,-0.0428324499147343,-0.235223961342598,-0.0268573467867499,-0.170319826092373,-0.0778229977486515,-0.153858819716948,-0.228739552700703
